Category: All categories

Week,office365: (Worldwide)
2019-08-25,55
2019-09-01,58
2019-09-08,62
2019-09-15,60
2019-09-22,61
2019-09-29,64
2019-10-06,61
2019-10-13,55
2019-10-20,58
2019-10-27,55
2019-11-03,58
2019-11-10,60
2019-11-17,72
2019-11-24,59
2019-12-01,63
2019-12-08,62
2019-12-15,61
2019-12-22,32
2019-12-29,29
2020-01-05,60
2020-01-12,60
2020-01-19,60
2020-01-26,62
2020-02-02,61
2020-02-09,58
2020-02-16,54
2020-02-23,57
2020-03-01,61
2020-03-08,69
2020-03-15,100
2020-03-22,98
2020-03-29,93
2020-04-05,79
2020-04-12,77
2020-04-19,88
2020-04-26,77
2020-05-03,76
2020-05-10,86
2020-05-17,73
2020-05-24,64
2020-05-31,69
2020-06-07,67
2020-06-14,64
2020-06-21,63
2020-06-28,65
2020-07-05,61
2020-07-12,63
2020-07-19,54
2020-07-26,54
2020-08-02,54
2020-08-09,51
2020-08-16,61
2020-08-23,61
2020-08-30,68
2020-09-06,69
2020-09-13,69
2020-09-20,67
2020-09-27,75
2020-10-04,69
2020-10-11,68
2020-10-18,68
2020-10-25,66
2020-11-01,63
2020-11-08,67
2020-11-15,69
2020-11-22,62
2020-11-29,65
2020-12-06,65
2020-12-13,65
2020-12-20,41
2020-12-27,30
2021-01-03,60
2021-01-10,67
2021-01-17,67
2021-01-24,66
2021-01-31,65
2021-02-07,59
2021-02-14,57
2021-02-21,60
2021-02-28,63
2021-03-07,59
2021-03-14,58
2021-03-21,61
2021-03-28,54
2021-04-04,53
2021-04-11,59
2021-04-18,60
2021-04-25,59
2021-05-02,52
2021-05-09,57
2021-05-16,58
2021-05-23,56
2021-05-30,51
2021-06-06,55
2021-06-13,53
2021-06-20,52
2021-06-27,50
2021-07-04,48
2021-07-11,47
2021-07-18,42
2021-07-25,40
2021-08-01,38
2021-08-08,32
2021-08-15,39
2021-08-22,42
2021-08-29,50
2021-09-05,51
2021-09-12,58
2021-09-19,54
2021-09-26,56
2021-10-03,55
2021-10-10,53
2021-10-17,54
2021-10-24,49
2021-10-31,47
2021-11-07,50
2021-11-14,52
2021-11-21,49
2021-11-28,52
2021-12-05,56
2021-12-12,54
2021-12-19,36
2021-12-26,26
2022-01-02,42
2022-01-09,50
2022-01-16,49
2022-01-23,49
2022-01-30,55
2022-02-06,49
2022-02-13,43
2022-02-20,38
2022-02-27,44
2022-03-06,42
2022-03-13,41
2022-03-20,40
2022-03-27,39
2022-04-03,42
2022-04-10,35
2022-04-17,37
2022-04-24,39
2022-05-01,33
2022-05-08,42
2022-05-15,40
2022-05-22,39
2022-05-29,36
2022-06-05,37
2022-06-12,38
2022-06-19,39
2022-06-26,36
2022-07-03,36
2022-07-10,34
2022-07-17,32
2022-07-24,32
2022-07-31,31
2022-08-07,28
2022-08-14,29
2022-08-21,33
2022-08-28,34
2022-09-04,35
2022-09-11,37
2022-09-18,36
2022-09-25,38
2022-10-02,38
2022-10-09,39
2022-10-16,38
2022-10-23,35
2022-10-30,34
2022-11-06,35
2022-11-13,39
2022-11-20,31
2022-11-27,36
2022-12-04,34
2022-12-11,35
2022-12-18,29
2022-12-25,19
2023-01-01,26
2023-01-08,33
2023-01-15,36
2023-01-22,39
2023-01-29,37
2023-02-05,35
2023-02-12,32
2023-02-19,33
2023-02-26,36
2023-03-05,35
2023-03-12,33
2023-03-19,34
2023-03-26,33
2023-04-02,30
2023-04-09,30
2023-04-16,35
2023-04-23,33
2023-04-30,28
2023-05-07,32
2023-05-14,31
2023-05-21,32
2023-05-28,28
2023-06-04,30
2023-06-11,30
2023-06-18,29
2023-06-25,28
2023-07-02,28
2023-07-09,27
2023-07-16,25
2023-07-23,22
2023-07-30,23
2023-08-06,22
2023-08-13,21
2023-08-20,23
2023-08-27,25
2023-09-03,26
2023-09-10,28
2023-09-17,28
2023-09-24,29
2023-10-01,27
2023-10-08,27
2023-10-15,28
2023-10-22,26
2023-10-29,24
2023-11-05,28
2023-11-12,27
2023-11-19,26
2023-11-26,27
2023-12-03,26
2023-12-10,27
2023-12-17,24
2023-12-24,13
2023-12-31,17
2024-01-07,24
2024-01-14,26
2024-01-21,27
2024-01-28,30
2024-02-04,30
2024-02-11,27
2024-02-18,28
2024-02-25,28
2024-03-03,28
2024-03-10,28
2024-03-17,26
2024-03-24,24
2024-03-31,25
2024-04-07,27
2024-04-14,27
2024-04-21,25
2024-04-28,22
2024-05-05,24
2024-05-12,26
2024-05-19,25
2024-05-26,25
2024-06-02,25
2024-06-09,24
2024-06-16,23
2024-06-23,24
2024-06-30,22
2024-07-07,22
2024-07-14,22
2024-07-21,20
2024-07-28,19
2024-08-04,19
2024-08-11,18
2024-08-18,21
2024-08-25,23
