Category: All categories

Week,taobao: (Worldwide)
2019-08-25,69
2019-09-01,68
2019-09-08,72
2019-09-15,64
2019-09-22,69
2019-09-29,63
2019-10-06,66
2019-10-13,69
2019-10-20,68
2019-10-27,72
2019-11-03,83
2019-11-10,100
2019-11-17,72
2019-11-24,71
2019-12-01,73
2019-12-08,77
2019-12-15,68
2019-12-22,65
2019-12-29,68
2020-01-05,66
2020-01-12,59
2020-01-19,41
2020-01-26,36
2020-02-02,38
2020-02-09,38
2020-02-16,45
2020-02-23,48
2020-03-01,47
2020-03-08,47
2020-03-15,48
2020-03-22,47
2020-03-29,50
2020-04-05,54
2020-04-12,57
2020-04-19,65
2020-04-26,64
2020-05-03,75
2020-05-10,66
2020-05-17,68
2020-05-24,69
2020-05-31,67
2020-06-07,65
2020-06-14,73
2020-06-21,64
2020-06-28,64
2020-07-05,65
2020-07-12,68
2020-07-19,65
2020-07-26,65
2020-08-02,64
2020-08-09,64
2020-08-16,66
2020-08-23,64
2020-08-30,63
2020-09-06,68
2020-09-13,63
2020-09-20,60
2020-09-27,52
2020-10-04,61
2020-10-11,61
2020-10-18,60
2020-10-25,64
2020-11-01,63
2020-11-08,86
2020-11-15,65
2020-11-22,58
2020-11-29,56
2020-12-06,65
2020-12-13,55
2020-12-20,53
2020-12-27,56
2021-01-03,58
2021-01-10,57
2021-01-17,56
2021-01-24,50
2021-01-31,43
2021-02-07,32
2021-02-14,42
2021-02-21,56
2021-02-28,52
2021-03-07,54
2021-03-14,49
2021-03-21,50
2021-03-28,50
2021-04-04,47
2021-04-11,49
2021-04-18,51
2021-04-25,47
2021-05-02,48
2021-05-09,49
2021-05-16,51
2021-05-23,48
2021-05-30,55
2021-06-06,55
2021-06-13,57
2021-06-20,52
2021-06-27,48
2021-07-04,50
2021-07-11,51
2021-07-18,53
2021-07-25,44
2021-08-01,45
2021-08-08,47
2021-08-15,44
2021-08-22,43
2021-08-29,45
2021-09-05,49
2021-09-12,48
2021-09-19,40
2021-09-26,43
2021-10-03,40
2021-10-10,45
2021-10-17,44
2021-10-24,44
2021-10-31,49
2021-11-07,57
2021-11-14,47
2021-11-21,41
2021-11-28,42
2021-12-05,43
2021-12-12,40
2021-12-19,37
2021-12-26,33
2022-01-02,53
2022-01-09,50
2022-01-16,43
2022-01-23,42
2022-01-30,31
2022-02-06,52
2022-02-13,56
2022-02-20,47
2022-02-27,49
2022-03-06,46
2022-03-13,46
2022-03-20,45
2022-03-27,45
2022-04-03,45
2022-04-10,44
2022-04-17,44
2022-04-24,42
2022-05-01,43
2022-05-08,43
2022-05-15,42
2022-05-22,42
2022-05-29,44
2022-06-05,44
2022-06-12,46
2022-06-19,47
2022-06-26,43
2022-07-03,45
2022-07-10,44
2022-07-17,45
2022-07-24,44
2022-07-31,44
2022-08-07,49
2022-08-14,47
2022-08-21,44
2022-08-28,44
2022-09-04,45
2022-09-11,44
2022-09-18,48
2022-09-25,48
2022-10-02,46
2022-10-09,50
2022-10-16,47
2022-10-23,50
2022-10-30,50
2022-11-06,61
2022-11-13,50
2022-11-20,44
2022-11-27,45
2022-12-04,48
2022-12-11,50
2022-12-18,43
2022-12-25,45
2023-01-01,48
2023-01-08,45
2023-01-15,40
2023-01-22,40
2023-01-29,52
2023-02-05,50
2023-02-12,49
2023-02-19,49
2023-02-26,45
2023-03-05,47
2023-03-12,45
2023-03-19,48
2023-03-26,46
2023-04-02,46
2023-04-09,46
2023-04-16,44
2023-04-23,43
2023-04-30,45
2023-05-07,43
2023-05-14,42
2023-05-21,43
2023-05-28,46
2023-06-04,45
2023-06-11,46
2023-06-18,48
2023-06-25,47
2023-07-02,45
2023-07-09,43
2023-07-16,40
2023-07-23,40
2023-07-30,42
2023-08-06,41
2023-08-13,43
2023-08-20,39
2023-08-27,39
2023-09-03,41
2023-09-10,40
2023-09-17,41
2023-09-24,38
2023-10-01,35
2023-10-08,40
2023-10-15,42
2023-10-22,43
2023-10-29,45
2023-11-05,54
2023-11-12,44
2023-11-19,45
2023-11-26,43
2023-12-03,47
2023-12-10,46
2023-12-17,44
2023-12-24,41
2023-12-31,46
2024-01-07,46
2024-01-14,47
2024-01-21,43
2024-01-28,42
2024-02-04,31
2024-02-11,35
2024-02-18,44
2024-02-25,44
2024-03-03,45
2024-03-10,41
2024-03-17,42
2024-03-24,44
2024-03-31,40
2024-04-07,41
2024-04-14,41
2024-04-21,44
2024-04-28,41
2024-05-05,38
2024-05-12,40
2024-05-19,41
2024-05-26,42
2024-06-02,39
2024-06-09,40
2024-06-16,43
2024-06-23,38
2024-06-30,39
2024-07-07,42
2024-07-14,43
2024-07-21,42
2024-07-28,41
2024-08-04,44
2024-08-11,46
2024-08-18,45
2024-08-25,47
