Category: All categories

Week,bilibili: (Worldwide)
2019-08-25,8
2019-09-01,7
2019-09-08,7
2019-09-15,7
2019-09-22,7
2019-09-29,8
2019-10-06,7
2019-10-13,8
2019-10-20,7
2019-10-27,7
2019-11-03,7
2019-11-10,7
2019-11-17,7
2019-11-24,7
2019-12-01,6
2019-12-08,7
2019-12-15,7
2019-12-22,7
2019-12-29,9
2020-01-05,8
2020-01-12,8
2020-01-19,7
2020-01-26,7
2020-02-02,8
2020-02-09,8
2020-02-16,10
2020-02-23,9
2020-03-01,9
2020-03-08,9
2020-03-15,10
2020-03-22,10
2020-03-29,10
2020-04-05,11
2020-04-12,11
2020-04-19,11
2020-04-26,11
2020-05-03,12
2020-05-10,11
2020-05-17,11
2020-05-24,12
2020-05-31,11
2020-06-07,11
2020-06-14,11
2020-06-21,11
2020-06-28,13
2020-07-05,12
2020-07-12,12
2020-07-19,13
2020-07-26,13
2020-08-02,13
2020-08-09,14
2020-08-16,14
2020-08-23,13
2020-08-30,13
2020-09-06,12
2020-09-13,12
2020-09-20,12
2020-09-27,11
2020-10-04,12
2020-10-11,12
2020-10-18,12
2020-10-25,12
2020-11-01,11
2020-11-08,12
2020-11-15,11
2020-11-22,12
2020-11-29,12
2020-12-06,13
2020-12-13,12
2020-12-20,13
2020-12-27,16
2021-01-03,14
2021-01-10,14
2021-01-17,14
2021-01-24,14
2021-01-31,14
2021-02-07,14
2021-02-14,13
2021-02-21,15
2021-02-28,14
2021-03-07,14
2021-03-14,13
2021-03-21,15
2021-03-28,16
2021-04-04,15
2021-04-11,15
2021-04-18,15
2021-04-25,15
2021-05-02,15
2021-05-09,16
2021-05-16,16
2021-05-23,17
2021-05-30,17
2021-06-06,17
2021-06-13,17
2021-06-20,17
2021-06-27,16
2021-07-04,17
2021-07-11,20
2021-07-18,18
2021-07-25,17
2021-08-01,16
2021-08-08,19
2021-08-15,21
2021-08-22,19
2021-08-29,20
2021-09-05,20
2021-09-12,19
2021-09-19,20
2021-09-26,19
2021-10-03,19
2021-10-10,20
2021-10-17,20
2021-10-24,20
2021-10-31,20
2021-11-07,21
2021-11-14,22
2021-11-21,23
2021-11-28,21
2021-12-05,24
2021-12-12,26
2021-12-19,25
2021-12-26,29
2022-01-02,30
2022-01-09,31
2022-01-16,28
2022-01-23,30
2022-01-30,32
2022-02-06,33
2022-02-13,33
2022-02-20,32
2022-02-27,32
2022-03-06,34
2022-03-13,35
2022-03-20,35
2022-03-27,35
2022-04-03,35
2022-04-10,39
2022-04-17,38
2022-04-24,38
2022-05-01,39
2022-05-08,41
2022-05-15,42
2022-05-22,44
2022-05-29,43
2022-06-05,45
2022-06-12,47
2022-06-19,51
2022-06-26,50
2022-07-03,53
2022-07-10,55
2022-07-17,57
2022-07-24,58
2022-07-31,59
2022-08-07,61
2022-08-14,60
2022-08-21,59
2022-08-28,58
2022-09-04,56
2022-09-11,60
2022-09-18,63
2022-09-25,61
2022-10-02,61
2022-10-09,65
2022-10-16,61
2022-10-23,69
2022-10-30,66
2022-11-06,67
2022-11-13,71
2022-11-20,67
2022-11-27,68
2022-12-04,73
2022-12-11,74
2022-12-18,86
2022-12-25,96
2023-01-01,91
2023-01-08,90
2023-01-15,82
2023-01-22,88
2023-01-29,87
2023-02-05,90
2023-02-12,87
2023-02-19,93
2023-02-26,96
2023-03-05,97
2023-03-12,100
2023-03-19,98
2023-03-26,79
2023-04-02,79
2023-04-09,82
2023-04-16,78
2023-04-23,78
2023-04-30,76
2023-05-07,74
2023-05-14,73
2023-05-21,74
2023-05-28,75
2023-06-04,78
2023-06-11,84
2023-06-18,83
2023-06-25,87
2023-07-02,88
2023-07-09,87
2023-07-16,92
2023-07-23,89
2023-07-30,86
2023-08-06,82
2023-08-13,82
2023-08-20,77
2023-08-27,77
2023-09-03,71
2023-09-10,64
2023-09-17,68
2023-09-24,68
2023-10-01,65
2023-10-08,71
2023-10-15,70
2023-10-22,72
2023-10-29,72
2023-11-05,74
2023-11-12,73
2023-11-19,72
2023-11-26,70
2023-12-03,70
2023-12-10,77
2023-12-17,79
2023-12-24,86
2023-12-31,81
2024-01-07,73
2024-01-14,75
2024-01-21,74
2024-01-28,80
2024-02-04,75
2024-02-11,78
2024-02-18,74
2024-02-25,70
2024-03-03,69
2024-03-10,64
2024-03-17,68
2024-03-24,72
2024-03-31,65
2024-04-07,67
2024-04-14,64
2024-04-21,66
2024-04-28,70
2024-05-05,66
2024-05-12,66
2024-05-19,71
2024-05-26,71
2024-06-02,70
2024-06-09,70
2024-06-16,75
2024-06-23,69
2024-06-30,76
2024-07-07,73
2024-07-14,73
2024-07-21,78
2024-07-28,71
2024-08-04,70
2024-08-11,74
2024-08-18,70
2024-08-25,71
